"NFactura","Fecha","IDProducto","Cantidad"
"537201",40517.5965277778,"22321-12",12
"537201",40517.5965277778,"22354-10",10
"537201",40517.5965277778,"22077-24",24
"537201",40517.5965277778,"85049E-12",12
"537201",40517.5965277778,"85049D-12",12
"537201",40517.5965277778,"85049F-12",12
"537201",40517.5965277778,"85049G-12",12
"537201",40517.5965277778,"22141-12",12
"537201",40517.5965277778,"22144-12",12
"537201",40517.5965277778,"22602-12",12
"537201",40517.5965277778,"22600-12",12
"537201",40517.5965277778,"22595-12",12
"537201",40517.5965277778,"22594-12",12
"537201",40517.5965277778,"22593-12",12
"537201",40517.5965277778,"22573-12",12
"537201",40517.5965277778,"22574-12",12
"537201",40517.5965277778,"22577-12",12
"537201",40517.5965277778,"22578-12",12
"537201",40517.5965277778,"20724-20",20
"537201",40517.5965277778,"22423-4",4
"537201",40517.5965277778,"22328-12",12
"537201",40517.5965277778,"22631-12",12
"537201",40517.5965277778,"22080-10",10
"537201",40517.5965277778,"22079-10",10
"537201",40517.5965277778,"22078-10",10
"537201",40517.5965277778,"22867-12",12
"537201",40517.5965277778,"22467-12",12
"537201",40517.5965277778,"22242-12",12
"537201",40517.5965277778,"22244-12",12
"537201",40517.5965277778,"22245-12",12
"537201",40517.5965277778,"20914-6",6
"537201",40517.5965277778,"22636-4",4
"537212",40517.6395833333,"20712-10",10
"537212",40517.6395833333,"20719-10",10
"537212",40517.6395833333,"22554-12",12
"537212",40517.6395833333,"21981-24",24
"537212",40517.6395833333,"22960-6",6
"537212",40517.6395833333,"22961-12",12
"537212",40517.6395833333,"22962-12",12
"537212",40517.6395833333,"22963-12",12
"537212",40517.6395833333,"21984-24",24
"537212",40517.6395833333,"21883-12",12
"537212",40517.6395833333,"22557-12",12
"537212",40517.6395833333,"22197-24",24
"537212",40517.6395833333,"22346-12",12
"537212",40517.6395833333,"22344-12",12
"537212",40517.6395833333,"22345-12",12
"537212",40517.6395833333,"22149-6",6
"537212",40517.6395833333,"22625-2",2
"537212",40517.6395833333,"22624-2",2
"537212",40517.6395833333,"22111-3",3
"537212",40517.6395833333,"21481-6",6
"537212",40517.6395833333,"84920-4",4
"537212",40517.6395833333,"21430-4",4
"537212",40517.6395833333,"20677-8",8
"537212",40517.6395833333,"21243-8",8
"537212",40517.6395833333,"20718-10",10
"537212",40517.6395833333,"22386-10",10
"537212",40517.6395833333,"85099B-10",10
"537212",40517.6395833333,"21238-8",8
"537212",40517.6395833333,"21239-8",8
"537250",40518.4465277778,"84030E-4",4
"537250",40518.4465277778,"21216-4",4
"537250",40518.4465277778,"22326-6",6
"537250",40518.4465277778,"20675-8",8
"537250",40518.4465277778,"21240-8",8
"537250",40518.4465277778,"20676-8",8
"537250",40518.4465277778,"21238-8",8
"537250",40518.4465277778,"21242-8",8
"537250",40518.4465277778,"21244-8",8
"537250",40518.4465277778,"22467-6",6
"537250",40518.4465277778,"22082-10",10
"537250",40518.4465277778,"22328-6",6
"537250",40518.4465277778,"21484-4",4
"C537333",40518.5,"22636--4",-4
"537594",40519.5194444444,"84968C-4",4
"537594",40519.5194444444,"84968A-2",2
"537594",40519.5194444444,"22846-4",4
"537594",40519.5194444444,"22847-4",4
"537594",40519.5194444444,"47559B-20",20
"537594",40519.5194444444,"22244-12",12
"537594",40519.5194444444,"22199-24",24
"537594",40519.5194444444,"22200-4",4
"537594",40519.5194444444,"21035-12",12
"537594",40519.5194444444,"22203-4",4
"537594",40519.5194444444,"22202-4",4
"537594",40519.5194444444,"21731-12",12
"537594",40519.5194444444,"22624-2",2
"537594",40519.5194444444,"21789-24",24
"537594",40519.5194444444,"21452-6",6
"537594",40519.5194444444,"21949-12",12
"537673",40520.4090277778,"21429-10",10
"537673",40520.4090277778,"22467-36",36
"537673",40520.4090277778,"22625-24",24
"537673",40520.4090277778,"22627-6",6
"537673",40520.4090277778,"85049E-24",24
"537673",40520.4090277778,"20979-32",32
"C537814",40520.5715277778,"20703--3",-3
"537892",40521.4256944444,"22468-2",2
"537892",40521.4256944444,"22636-2",2
"537892",40521.4256944444,"21918-24",24
"537892",40521.4256944444,"21791-12",12
"537892",40521.4256944444,"22620-12",12
"537892",40521.4256944444,"22556-12",12
"537892",40521.4256944444,"21156-8",8
"537892",40521.4256944444,"22326-6",6
"537892",40521.4256944444,"22328-6",6
"537894",40521.4277777778,"22943-3",3
"537894",40521.4277777778,"22964-6",6
"537894",40521.4277777778,"22972-12",12
"537894",40521.4277777778,"22551-24",24
"537894",40521.4277777778,"21680-36",36
"537894",40521.4277777778,"22331-24",24
"537894",40521.4277777778,"22326-30",30
"537894",40521.4277777778,"22730-12",12
"537894",40521.4277777778,"22727-12",12
"537894",40521.4277777778,"22725-12",12
"537894",40521.4277777778,"22891-6",6
"537894",40521.4277777778,"17003-36",36
"537894",40521.4277777778,"22585-12",12
"537995",40521.4854166667,"22173-8",8
"537995",40521.4854166667,"22171-8",8
"537995",40521.4854166667,"20973-24",24
"537995",40521.4854166667,"21481-6",6
"537995",40521.4854166667,"21559-6",6
"537995",40521.4854166667,"22352-6",6
"537995",40521.4854166667,"22550-4",4
"537995",40521.4854166667,"82494L-6",6
"537995",40521.4854166667,"22788-2",2
"537995",40521.4854166667,"20702-12",12
"C538084",40521.6125,"22860--6",-6
"C538084",40521.6125,"22859--6",-6
"C538123",40521.6534722222,"22331--1",-1
"C538123",40521.6534722222,"22333--1",-1
"C538123",40521.6534722222,"22956--2",-2
"538174",40522.3993055556,"21210-12",12
"538174",40522.3993055556,"21212-24",24
"538174",40522.3993055556,"21578-24",24
"538174",40522.3993055556,"21700-72",72
"538174",40522.3993055556,"16235-60",60
"538174",40522.3993055556,"21731-48",48
"538174",40522.3993055556,"21787-24",24
"538174",40522.3993055556,"21232-36",36
"538174",40522.3993055556,"22077-24",24
"538174",40522.3993055556,"22326-12",12
"538174",40522.3993055556,"22423-32",32
"538174",40522.3993055556,"22472-12",12
"538174",40522.3993055556,"22445-12",12
"538174",40522.3993055556,"22554-24",24
"538174",40522.3993055556,"22556-24",24
"538174",40522.3993055556,"22555-24",24
"538174",40522.3993055556,"22646-36",36
"538174",40522.3993055556,"22644-12",12
"538174",40522.3993055556,"22649-8",8
"538174",40522.3993055556,"22489-24",24
"538174",40522.3993055556,"22907-24",24
"538174",40522.3993055556,"22908-24",24
"538174",40522.3993055556,"22897-20",20
"538174",40522.3993055556,"22752-2",2
"538174",40522.3993055556,"22848-4",4
"538174",40522.3993055556,"22728-24",24
"538174",40522.3993055556,"84228-24",24
"538174",40522.3993055556,"22968-8",8
"538174",40522.3993055556,"22491-12",12
"538174",40522.3993055556,"22741-96",96
"538174",40522.3993055556,"22797-1",1
"538174",40522.3993055556,"22326-12",12
"538174",40522.3993055556,"22621-12",12
"538174",40522.3993055556,"22937-12",12
"538174",40522.3993055556,"22746-12",12
"538174",40522.3993055556,"22745-12",12
"538174",40522.3993055556,"22748-6",6
"538174",40522.3993055556,"22419-100",100
"538174",40522.3993055556,"22759-12",12
"538174",40522.3993055556,"22549-12",12
"538174",40522.3993055556,"22625-12",12
"538174",40522.3993055556,"21231-12",12
"538174",40522.3993055556,"21577-18",18
"538174",40522.3993055556,"22808-18",18
"538174",40522.3993055556,"22856-18",18
"538174",40522.3993055556,"22859-12",12
"538174",40522.3993055556,"22934-12",12
"C538642",40525.6090277778,"22636--1",-1
"C538642",40525.6090277778,"21658--1",-1
"C538643",40525.6097222222,"22636--1",-1
"C538643",40525.6097222222,"21658--1",-1
"538644",40525.6104166667,"22636-1",1
"538644",40525.6104166667,"21658-1",1
"C539031",40527.6006944444,"22847--1",-1
"C539031",40527.6006944444,"22203--1",-1
"C539031",40527.6006944444,"22202--1",-1
"C539031",40527.6006944444,"22199--4",-4
"C539031",40527.6006944444,"21731--1",-1
"C539031",40527.6006944444,"21452--4",-4
"C539097",40528.4361111111,"22972--7",-7
"539327",40529.3916666667,"35651-12",12
"539327",40529.3916666667,"21481-6",6
"539327",40529.3916666667,"20679-12",12
"539327",40529.3916666667,"85014B-12",12
"539395",40529.4944444444,"22913-6",6
"539395",40529.4944444444,"22923-36",36
"539395",40529.4944444444,"22969-36",36
"539395",40529.4944444444,"22962-24",24
"539395",40529.4944444444,"22961-48",48
"539395",40529.4944444444,"22964-18",18
"539395",40529.4944444444,"22966-12",12
"539395",40529.4944444444,"22743-6",6
"539395",40529.4944444444,"22744-6",6
"539395",40529.4944444444,"21577-12",12
"539395",40529.4944444444,"21578-12",12
"539395",40529.4944444444,"21700-48",48
"539395",40529.4944444444,"21731-24",24
"539395",40529.4944444444,"22423-32",32
"539395",40529.4944444444,"22326-12",12
"539395",40529.4944444444,"22472-9",9
"539395",40529.4944444444,"22445-12",12
"539395",40529.4944444444,"22554-12",12
"539395",40529.4944444444,"22555-12",12
"539395",40529.4944444444,"22556-12",12
"539395",40529.4944444444,"22625-6",6
"539395",40529.4944444444,"22649-8",8
"539395",40529.4944444444,"22848-6",6
"539395",40529.4944444444,"22728-12",12
"539395",40529.4944444444,"22968-6",6
"539395",40529.4944444444,"22752-6",6
"539398",40529.4951388889,"22720-6",6
"539401",40529.5013888889,"21485-15",15
"539401",40529.5013888889,"21258-16",16
"539401",40529.5013888889,"22343-24",24
"539401",40529.5013888889,"22504-12",12
"539401",40529.5013888889,"22503-12",12
"539401",40529.5013888889,"21122-24",24
"539401",40529.5013888889,"20685-30",30
"539403",40529.5145833333,"22722-4",4
"539403",40529.5145833333,"22243-12",12
"539403",40529.5145833333,"22892-12",12
"539403",40529.5145833333,"21789-24",24
"539403",40529.5145833333,"22625-2",2
"539403",40529.5145833333,"21272-12",12
"539403",40529.5145833333,"22452-6",6
"539403",40529.5145833333,"22968-4",4
"539403",40529.5145833333,"22505-4",4
"539403",40529.5145833333,"22626-1",1
"539405",40529.5263888889,"22960-6",6
"539405",40529.5263888889,"22961-12",12
"539405",40529.5263888889,"22973-12",12
"539405",40529.5263888889,"21881-24",24
"539405",40529.5263888889,"22074-24",24
"539405",40529.5263888889,"22190-24",24
"539405",40529.5263888889,"22834-48",48
"539405",40529.5263888889,"22355-30",30
"539405",40529.5263888889,"85205B-12",12
"539405",40529.5263888889,"22652-10",10
"539405",40529.5263888889,"22654-6",6
"539405",40529.5263888889,"22077-12",12
"539405",40529.5263888889,"22423-16",16
"539405",40529.5263888889,"20973-24",24
"539405",40529.5263888889,"22752-24",24
"539405",40529.5263888889,"22837-36",36
"539405",40529.5263888889,"22636-2",2
"539408",40529.5388888889,"22720-3",3
"539408",40529.5388888889,"22721-3",3
"539408",40529.5388888889,"22722-4",4
"539408",40529.5388888889,"22723-4",4
"539408",40529.5388888889,"21880-24",24
"539408",40529.5388888889,"22343-24",24
"539408",40529.5388888889,"22344-24",24
"539408",40529.5388888889,"22345-24",24
"539408",40529.5388888889,"22346-24",24
"539408",40529.5388888889,"20973-24",24
"539408",40529.5388888889,"22379-5",5
"539408",40529.5388888889,"20724-10",10
"539408",40529.5388888889,"21884-24",24
"539408",40529.5388888889,"21883-24",24
"539446",40529.6652777778,"22834-48",48
"539446",40529.6652777778,"84660C-20",20
"539446",40529.6652777778,"84012-24",24
"539446",40529.6652777778,"70006-30",30
"539446",40529.6652777778,"84674-24",24
"539446",40529.6652777778,"84660B-20",20
"539446",40529.6652777778,"84660A-20",20
"539446",40529.6652777778,"22837-8",8
"539446",40529.6652777778,"21481-12",12
"539446",40529.6652777778,"22113-12",12
"539446",40529.6652777778,"84030E-4",4
"539446",40529.6652777778,"22254-12",12
"539446",40529.6652777778,"22255-12",12
"539446",40529.6652777778,"22326-6",6
"539446",40529.6652777778,"22328-6",6
"539446",40529.6652777778,"22659-24",24
"539446",40529.6652777778,"21426-6",6
"539446",40529.6652777778,"21424-6",6
"539446",40529.6652777778,"21731-12",12
"539446",40529.6652777778,"20712-20",20
"539446",40529.6652777778,"21232-12",12
"539446",40529.6652777778,"21231-12",12
"539446",40529.6652777778,"22892-12",12
"539446",40529.6652777778,"22423-4",4
"539446",40529.6652777778,"22221-2",2
"539446",40529.6652777778,"22236-2",2
"539446",40529.6652777778,"22223-3",3
"539446",40529.6652777778,"22222-3",3
"539446",40529.6652777778,"21871-12",12
"539466",40531.5319444444,"21880-24",24
"539466",40531.5319444444,"21881-24",24
"539466",40531.5319444444,"21884-24",24
"539466",40531.5319444444,"22117-12",12
"539466",40531.5319444444,"22378-40",40
"539466",40531.5319444444,"22396-24",24
"539466",40531.5319444444,"82613B-20",20
"539466",40531.5319444444,"82613D-20",20
"539466",40531.5319444444,"84509G-12",12
"539466",40531.5319444444,"21231-12",12
"539466",40531.5319444444,"21232-24",24
"539466",40531.5319444444,"22064-12",12
"539466",40531.5319444444,"22644-12",12
"539466",40531.5319444444,"37448-12",12
"539466",40531.5319444444,"47567B-3",3
"539466",40531.5319444444,"47570B-2",2
"539466",40531.5319444444,"48185-2",2
"539466",40531.5319444444,"20914-6",6
"539466",40531.5319444444,"21035-6",6
"539466",40531.5319444444,"21527-6",6
"539466",40531.5319444444,"21165-12",12
"539466",40531.5319444444,"22554-12",12
"539466",40531.5319444444,"21731-12",12
"539636",40532.6354166667,"22961-24",24
"539636",40532.6354166667,"22963-48",48
"539636",40532.6354166667,"22962-24",24
"539636",40532.6354166667,"22849-4",4
"539636",40532.6354166667,"22847-4",4
"539636",40532.6354166667,"22624-4",4
"539636",40532.6354166667,"22627-4",4
"539636",40532.6354166667,"22445-48",48
"539636",40532.6354166667,"21680-24",24
"539636",40532.6354166667,"22863-24",24
"539636",40532.6354166667,"22652-20",20
"C539644",40532.6611111111,"22968--1",-1
"C539644",40532.6611111111,"22897--1",-1
"C539644",40532.6611111111,"22646--8",-8
"C539644",40532.6611111111,"21232--2",-2
"C539644",40532.6611111111,"22423--21",-21
"C539644",40532.6611111111,"20914--5",-5
"C539644",40532.6611111111,"21232--4",-4
"C539644",40532.6611111111,"22908--1",-1
"C539644",40532.6611111111,"22820--2",-2
"C539644",40532.6611111111,"22923--2",-2
"C539644",40532.6611111111,"22554--2",-2
"C539644",40532.6611111111,"22555--4",-4
"C539644",40532.6611111111,"21577--1",-1
"C539644",40532.6611111111,"22472--1",-1
"C539644",40532.6611111111,"21578--2",-2
"C539866",40535.4305555556,"22300--3",-3
"C539866",40535.4305555556,"22634--4",-4
"C539866",40535.4305555556,"22636--2",-2
"539946",40535.4902777778,"22326-6",6
"539946",40535.4902777778,"20712-10",10
"539946",40535.4902777778,"20981-12",12
"539946",40535.4902777778,"22331-8",8
"539946",40535.4902777778,"22333-8",8
"539946",40535.4902777778,"21398-6",6
"539946",40535.4902777778,"21392-6",6
"539946",40535.4902777778,"21394-6",6
"539957",40535.5402777778,"22138-3",3
"539957",40535.5402777778,"84879-16",16
"539957",40535.5402777778,"21136-16",16
"539957",40535.5402777778,"22605-2",2
"539957",40535.5402777778,"22606-2",2
"539957",40535.5402777778,"22777-12",12
"539957",40535.5402777778,"22778-8",8
"539957",40535.5402777778,"84945-24",24
"539957",40535.5402777778,"21175-12",12
"539957",40535.5402777778,"85152-12",12
"539957",40535.5402777778,"22948-24",24
"539957",40535.5402777778,"22398-24",24
"539957",40535.5402777778,"22399-12",12
"539957",40535.5402777778,"22400-12",12
"539957",40535.5402777778,"22567-12",12
"539957",40535.5402777778,"22558-12",12
"539957",40535.5402777778,"21668-12",12
"539957",40535.5402777778,"21669-12",12
"539957",40535.5402777778,"21672-12",12
"539957",40535.5402777778,"21673-12",12
"539957",40535.5402777778,"22772-12",12
"539957",40535.5402777778,"22773-12",12
"539957",40535.5402777778,"22805-12",12
"539957",40535.5402777778,"22785-2",2
"539957",40535.5402777778,"22786-2",2
"539957",40535.5402777778,"22638-6",6
"539957",40535.5402777778,"22640-6",6
"539957",40535.5402777778,"22604-6",6
"539957",40535.5402777778,"22316-12",12
"539957",40535.5402777778,"84991-24",24
"539957",40535.5402777778,"22951-24",24
"539957",40535.5402777778,"21212-24",24
"539957",40535.5402777778,"21975-24",24
"539957",40535.5402777778,"21213-24",24
"539957",40535.5402777778,"84987-12",12
"539957",40535.5402777778,"22949-12",12
"539957",40535.5402777778,"21210-12",12
"539957",40535.5402777778,"84988-12",12
"539957",40535.5402777778,"21211-12",12
"539957",40535.5402777778,"21972-12",12
"539957",40535.5402777778,"22423-2",2
"539957",40535.5402777778,"22720-3",3
"539957",40535.5402777778,"22961-12",12
"539957",40535.5402777778,"21622-4",4
"539957",40535.5402777778,"21625-3",3
"539957",40535.5402777778,"22091-12",12
"539957",40535.5402777778,"22076-12",12
"539957",40535.5402777778,"22851-12",12
"539957",40535.5402777778,"20828-12",12
"539957",40535.5402777778,"22616-24",24
"539957",40535.5402777778,"21967-24",24
"539957",40535.5402777778,"21982-24",24
"539957",40535.5402777778,"22047-25",25
"539957",40535.5402777778,"22046-25",25
"539957",40535.5402777778,"22048-25",25
"539957",40535.5402777778,"16156S-25",25
"539957",40535.5402777778,"22706-25",25
"539957",40535.5402777778,"20971-12",12
"539957",40535.5402777778,"22272-6",6
"539957",40535.5402777778,"22751-4",4
"539957",40535.5402777778,"22533-24",24
"539957",40535.5402777778,"22534-24",24
"539957",40535.5402777778,"22634-2",2
"539957",40535.5402777778,"22555-12",12
"C540158",40548.4875,"22968--2",-2
"C540158",40548.4875,"22964--2",-2
"C540158",40548.4875,"22962--17",-17
"C540158",40548.4875,"22961--2",-2
"C540158",40548.4875,"22923--5",-5
"C540158",40548.4875,"22728--4",-4
"C540158",40548.4875,"22649--2",-2
"C540158",40548.4875,"22423--2",-2
"C540243",40548.6472222222,"22851--1",-1
"C540243",40548.6472222222,"22091--7",-7
"C540243",40548.6472222222,"22316--1",-1
"C540243",40548.6472222222,"22638--1",-1
"C540243",40548.6472222222,"22558--1",-1
"C540243",40548.6472222222,"84945--5",-5
"C540243",40548.6472222222,"22778--1",-1
"C540243",40548.6472222222,"22777--2",-2
"C540243",40548.6472222222,"22606--1",-1
"C540346",40549.5701388889,"22077--4",-4
"540410",40550.4194444444,"84078A-4",4
"540410",40550.4194444444,"20681-6",6
"540410",40550.4194444444,"20682-6",6
"540410",40550.4194444444,"22386-10",10
"540410",40550.4194444444,"85099B-10",10
"540410",40550.4194444444,"21086-12",12
"540410",40550.4194444444,"21094-12",12
"540410",40550.4194444444,"84997B-6",6
"540410",40550.4194444444,"21731-12",12
"540410",40550.4194444444,"21452-6",6
"540410",40550.4194444444,"22968-2",2
"540410",40550.4194444444,"22090-6",6
"540414",40550.4388888889,"21880-24",24
"540414",40550.4388888889,"21883-24",24
"540414",40550.4388888889,"21787-24",24
"540414",40550.4388888889,"21786-24",24
"540414",40550.4388888889,"22178-24",24
"540414",40550.4388888889,"21656-12",12
"540414",40550.4388888889,"22138-3",3
"540414",40550.4388888889,"22896-12",12
"540414",40550.4388888889,"22558-12",12
"540414",40550.4388888889,"22326-12",12
"540414",40550.4388888889,"22328-6",6
"540414",40550.4388888889,"22203-4",4
"540414",40550.4388888889,"22897-20",20
"540414",40550.4388888889,"22895-24",24
"540414",40550.4388888889,"22892-24",24
"540414",40550.4388888889,"22215-2",2
"540414",40550.4388888889,"22907-12",12
"540414",40550.4388888889,"22908-24",24
"540414",40550.4388888889,"22894-2",2
"540414",40550.4388888889,"22551-36",36
"540414",40550.4388888889,"22556-36",36
"540414",40550.4388888889,"21981-24",24
"540414",40550.4388888889,"22986-25",25
"540458",40550.5194444444,"22661-10",10
"540458",40550.5194444444,"20719-10",10
"540458",40550.5194444444,"20724-10",10
"540458",40550.5194444444,"22333-8",8
"540458",40550.5194444444,"20718-10",10
"540458",40550.5194444444,"20665-6",6
"540458",40550.5194444444,"85014B-3",3
"540458",40550.5194444444,"20679-3",3
"540458",40550.5194444444,"15056BL-3",3
"540458",40550.5194444444,"15056N-3",3
"540458",40550.5194444444,"21121-24",24
"540458",40550.5194444444,"21126-12",12
"540458",40550.5194444444,"21125-12",12
"540458",40550.5194444444,"22668-5",5
"540458",40550.5194444444,"20702-3",3
"540458",40550.5194444444,"22319-12",12
"540458",40550.5194444444,"21042-3",3
"540458",40550.5194444444,"21156-8",8
"540458",40550.5194444444,"22195-12",12
"540458",40550.5194444444,"22138-3",3
"540458",40550.5194444444,"22617-3",3
"540458",40550.5194444444,"21212-24",24
"540458",40550.5194444444,"22199-4",4
"540458",40550.5194444444,"21558-6",6
"540458",40550.5194444444,"21559-6",6
"540458",40550.5194444444,"22327-6",6
"540458",40550.5194444444,"22328-6",6
"540458",40550.5194444444,"21539-3",3
"540458",40550.5194444444,"84997A-6",6
"540458",40550.5194444444,"84997B-6",6
"540458",40550.5194444444,"84997C-6",6
"540458",40550.5194444444,"84997D-6",6
"540458",40550.5194444444,"22634-2",2
"540458",40550.5194444444,"22635-2",2
"540458",40550.5194444444,"22636-2",2
"540458",40550.5194444444,"21238-8",8
"540458",40550.5194444444,"21239-8",8
"540458",40550.5194444444,"21240-8",8
"540458",40550.5194444444,"21242-8",8
"540458",40550.5194444444,"21243-8",8
"540458",40550.5194444444,"21244-8",8
"540458",40550.5194444444,"21245-8",8
"540458",40550.5194444444,"20674-8",8
"540458",40550.5194444444,"20675-8",8
"540458",40550.5194444444,"20676-8",8
"540458",40550.5194444444,"20677-8",8
"540458",40550.5194444444,"20914-6",6
"540458",40550.5194444444,"47351B-6",6
"540458",40550.5194444444,"21981-24",24
"540458",40550.5194444444,"21980-24",24
"540458",40550.5194444444,"21983-24",24
"540458",40550.5194444444,"21967-24",24
"540458",40550.5194444444,"20977-16",16
"540458",40550.5194444444,"20978-16",16
"540458",40550.5194444444,"20979-16",16
"540458",40550.5194444444,"22419-12",12
"540458",40550.5194444444,"22189-4",4
"540458",40550.5194444444,"21428-4",4
"540458",40550.5194444444,"21430-4",4
"540458",40550.5194444444,"21429-8",8
"540458",40550.5194444444,"22378-5",5
"540458",40550.5194444444,"21731-12",12
"540458",40550.5194444444,"22609-36",36
"540458",40550.5194444444,"47503A-24",24
"540458",40550.5194444444,"84826-60",60
"540458",40550.5194444444,"21002-3",3
"540458",40550.5194444444,"20750-2",2
"540458",40550.5194444444,"22857-12",12
"540458",40550.5194444444,"22149-6",6
"540458",40550.5194444444,"22961-12",12
"540458",40550.5194444444,"22509-1",1
"540458",40550.5194444444,"22654-3",3
"540458",40550.5194444444,"22652-10",10
"540458",40550.5194444444,"22968-2",2
"540458",40550.5194444444,"22087-6",6
"540458",40550.5194444444,"22088-6",6
"540458",40550.5194444444,"22089-6",6
"540458",40550.5194444444,"22090-6",6
"540458",40550.5194444444,"21217-2",2
"540458",40550.5194444444,"22558-12",12
"540458",40550.5194444444,"21155-6",6
"540458",40550.5194444444,"20725-10",10
"540458",40550.5194444444,"20727-10",10
"540458",40550.5194444444,"22329-12",12
"540458",40550.5194444444,"22352-6",6
"540458",40550.5194444444,"22628-4",4
"540458",40550.5194444444,"22203-4",4
"540458",40550.5194444444,"21041-6",6
"540458",40550.5194444444,"21154-10",10
"540458",40550.5194444444,"21216-4",4
"540458",40550.5194444444,"22073-4",4
"540458",40550.5194444444,"21084-12",12
"540458",40550.5194444444,"21086-12",12
"540458",40550.5194444444,"21088-12",12
"540458",40550.5194444444,"21987-12",12
"540458",40550.5194444444,"21090-12",12
"540458",40550.5194444444,"21094-12",12
"540458",40550.5194444444,"21096-12",12
"540458",40550.5194444444,"21988-12",12
"540458",40550.5194444444,"21080-12",12
"540458",40550.5194444444,"21989-12",12
