date	daytype	seconds	miles	tips	total	payment_type	speed
2019-04-18	weekday	2520	13.2	8	47	Credit	18.857143
2019-02-24	weekday	1020	2	0	12	Cash	7.0588235
2019-12-21	weekend	480	1.4	0	7.5	Cash	10.500000
2019-11-27	weekday	2354	18.1	10.2	61.2	Credit	27.680544
2019-08-15	weekday	720	2	2.5	12	Credit	10
2019-03-25	weekday	577	1.8	2.5	10.75	Credit	11.230503
2019-07-21	weekday	240	0.7	0	5	Cash	10.500000
2019-04-10	weekday	672	2.37	0	9.75	Cash	12.696429
2019-02-15	weekend	300	0.7	0	7.25	Cash	8.4000000
2019-01-03	weekday	727	4.27	0	18	Cash	21.144429
2019-09-22	weekday	1161	10.36	0	33.75	Cash	32.124031
2019-03-01	weekend	303	1.1	2	8.25	Credit	13.069307
2019-01-27	weekday	2694	20.8	0	51.75	Cash	27.795100
2019-10-23	weekday	240	0.5	0	5	Cash	7.5000000
2019-01-03	weekday	450	0.96	2	9	Credit	7.6800000
2019-10-01	weekday	2400	18.6	10	60.75	Credit	27.900000
2019-09-06	weekend	960	0.2	0	14.75	Cash	0.75000000
2019-01-09	weekday	780	1.9	3	12.5	Credit	8.7692308
2019-01-27	weekday	515	2.42	2	13.25	Credit	16.916505
2019-10-28	weekday	345	1.27	2	9	Credit	13.252174
2019-07-03	weekday	787	2.03	0	10	Cash	9.2858958
2019-10-31	weekday	387	0.89	0	5.75	Cash	8.2790698
2019-02-14	weekday	467	1.2	0	7	Cash	9.2505353
2019-12-25	weekday	2714	18.66	0	53.75	Cash	24.751658
2019-01-24	weekday	420	1.5	0	8.25	Cash	12.857143
2019-01-02	weekday	515	1.5	2	9.75	Credit	10.485437
2019-09-05	weekday	1316	4.7	0	15.5	Cash	12.857143
2019-11-04	weekday	1955	14.72	8.55	51.3	Credit	27.105882
2019-09-19	weekday	628	2.1	3	12.75	Credit	12.038217
2019-04-06	weekend	2460	18.4	0	51.5	Credit	26.926829
2019-07-14	weekday	1922	18.41	10	60	Credit	34.482830
2019-08-05	weekday	2151	14.08	7.45	44.7	Credit	23.564854
2019-09-12	weekday	444	1.1	2	9.25	Credit	8.9189189
2019-05-04	weekend	1440	5.2	0	20.75	Cash	13
2019-11-25	weekday	360	0.1	0	9.5	Cash	1
2019-08-07	weekday	420	1.6	0	7.25	Cash	13.714286
2019-05-30	weekday	540	0.9	0	6.75	Cash	6
2019-10-21	weekday	2040	17.3	18.55	92.3	Credit	30.529412
2019-11-12	weekday	1740	1	9.05	54.05	Credit	2.0689655
2019-12-10	weekday	694	2.81	0	12.25	Cash	14.576369
2019-10-17	weekday	560	1.64	0	9.25	Cash	10.542857
2019-04-09	weekday	448	1.23	0	6.75	Cash	9.8839286
2019-08-08	weekday	347	0.61	0	5.25	Cash	6.3285303
2019-06-01	weekend	240	0.2	0	4.5	Cash	3
2019-11-12	weekday	1260	16.1	4	47.75	Credit	46.000000
2019-07-26	weekend	2684	11.16	7.35	44.1	Credit	14.968703
2019-01-04	weekend	606	2.94	2	13.5	Credit	17.465347
2019-05-12	weekday	1020	2.5	0	12.25	Cash	8.8235294
2019-09-17	weekday	386	0.7	1.71	7.96	Credit	6.5284974
2019-01-24	weekday	1140	10.9	6.5	39	Credit	34.421053
2019-08-15	weekday	428	2.13	2	14	Credit	17.915888
2019-03-05	weekday	216	0.5	0	4.75	Cash	8.3333333
2019-01-18	weekend	362	1.07	2	8.5	Credit	10.640884
2019-01-30	weekday	840	3.9	0	12.75	Cash	16.714286
2019-03-05	weekday	530	2.26	2	11.5	Credit	15.350943
2019-07-21	weekday	1118	3.6	3	18	Credit	11.592129
2019-01-17	weekday	463	0.89	0	6.25	Credit	6.9200864
2019-05-09	weekday	901	2.41	4	15	Credit	9.6293008
2019-08-01	weekday	201	0.64	2	7.5	Credit	11.462687
2019-10-19	weekend	774	1.1	0	8	Cash	5.1162791
2019-03-21	weekday	300	0.8	2	7.5	Credit	9.6000000
2019-11-21	weekday	240	0.8	1	6.25	Credit	12
2019-02-06	weekday	2386	18.02	9.95	59.7	Credit	27.188600
2019-12-04	weekday	1380	17.4	11.81	59.06	Credit	45.391304
2019-09-12	weekday	94	0.13	2	6.25	Credit	4.9787234
2019-01-25	weekend	254	1.04	0	5.5	Cash	14.740157
2019-10-19	weekend	660	0.2	2.65	15.4	Credit	1.0909091
2019-06-18	weekday	840	2.3	1.65	12.65	Credit	9.8571429
2019-04-23	weekday	389	0.76	0	6.5	Credit	7.0334190
2019-05-15	weekday	940	7.13	0	20	Cash	27.306383
2019-03-22	weekend	511	1.29	0	8.75	Cash	9.0880626
2019-01-19	weekend	2040	17.8	5	54.25	Credit	31.411765
2019-04-09	weekday	383	1.08	0	6.25	Cash	10.151436
2019-08-16	weekend	234	0.6	0	4.75	Cash	9.2307692
2019-12-02	weekday	300	1.1	1	7	Credit	13.200000
2019-10-03	weekday	312	1.13	3	9.75	Credit	13.038462
2019-03-14	weekday	600	1.3	1	8.5	Credit	7.8000000
2019-02-14	weekday	468	0.9	0	6.5	Cash	6.9230769
2019-04-12	weekend	829	3.67	0	12.75	Cash	15.937274
2019-04-25	weekday	660	1	0	8.75	Cash	5.4545455
2019-02-15	weekend	630	1.46	0	7.5	Cash	8.3428571
2019-09-05	weekday	587	2.25	0	9.25	Cash	13.798978
2019-10-03	weekday	444	0.79	0	6	Cash	6.4054054
2019-07-07	weekday	679	2.8	0	10.25	Cash	14.845361
2019-04-14	weekday	809	2.72	0	12.25	Cash	12.103832
2019-10-18	weekend	480	0.8	0	6.5	Cash	6
2019-05-02	weekday	3360	25.6	17.81	89.06	Credit	27.428571
2019-06-25	weekday	763	4.03	2.8	16.8	Credit	19.014417
2019-02-26	weekday	600	1.6	0	8.5	Cash	9.6000000
2019-06-21	weekend	432	1.55	4	14	Credit	12.916667
2019-01-16	weekday	1175	1.69	2	13.25	Credit	5.1778723
2019-02-08	weekend	720	3	2.6	15.6	Credit	15
2019-07-06	weekend	217	0.38	0	5.75	Cash	6.3041475
2019-05-31	weekend	840	1.5	0.93	10.18	Credit	6.4285714
2019-10-01	weekday	665	0.98	0.5	8.5	Credit	5.3052632
2019-11-12	weekday	240	0.5	0	5	Cash	7.5000000
2019-12-03	weekday	340	1.1	2	8.75	Credit	11.647059
2019-06-26	weekday	540	2.4	1	10.5	Credit	16
2019-10-23	weekday	480	1.4	0	8.5	Cash	10.500000
2019-07-02	weekday	548	2.1	0	12.75	Cash	13.795620
2019-08-12	weekday	3789	17.88	6	56.5	Credit	16.988124
2019-10-13	weekday	296	0.64	2	8.5	Credit	7.7837838
2019-04-11	weekday	562	1.89	0	9.5	Cash	12.106762
2019-04-16	weekday	420	1.3	3	10.25	Credit	11.142857
2019-08-06	weekday	149	0.24	0	4	Cash	5.7986577
2019-07-15	weekday	240	0.4	0	5.75	Cash	6
2019-07-12	weekend	540	1.7	0	8	Credit	11.333333
2019-09-24	weekday	205	0.37	2	7.75	Credit	6.4975610
2019-10-16	weekday	631	1.41	0	8	Cash	8.0443740
2019-01-26	weekend	300	0.6	0	6.25	Cash	7.2000000
2019-04-05	weekend	300	1.4	3.15	13.65	Credit	16.800000
2019-06-28	weekend	838	1.68	0	10	Cash	7.2171838
2019-04-25	weekday	4740	17.6	12.56	62.81	Credit	13.367089
2019-09-17	weekday	480	1	1	7.25	Credit	7.5000000
2019-12-12	weekday	660	2.2	0	10.75	Cash	12.000000
2019-12-19	weekday	634	1.63	0	9.5	Cash	9.2555205
2019-02-05	weekday	2381	16.85	10.14	53.64	Credit	25.476690
2019-02-19	weekday	815	1.9	2	11.75	Credit	8.3926380
2019-02-22	weekend	203	0.58	0	5	Cash	10.285714
2019-02-05	weekday	765	1.29	0	8	Cash	6.0705882
2019-04-30	weekday	326	0.64	0	6.5	Cash	7.0674847
2019-06-11	weekday	1260	8.4	7.6	32.6	Credit	24.000000
2019-06-24	weekday	431	1.76	4	12.25	Credit	14.700696
2019-01-25	weekend	669	1.74	2	12.25	Credit	9.3632287
2019-01-15	weekday	300	0.7	0	5.5	Cash	8.4000000
2019-05-09	weekday	2969	17.71	9.9	59.4	Credit	21.473897
2019-10-09	weekday	1140	5.9	8	30.25	Credit	18.631579
2019-01-21	weekday	300	0.9	0	7	Cash	10.800000
2019-04-02	weekday	180	1.1	2	7.5	Credit	22
2019-04-21	weekday	2624	17.56	0	48	Cash	24.091463
2019-04-08	weekday	360	1.3	1.5	8.75	Credit	13
2019-04-09	weekday	323	0.74	0	5.5	Cash	8.2476780
2019-04-13	weekend	360	1.6	0	7	Cash	16
2019-05-10	weekend	1065	4.46	0	14.75	Cash	15.076056
2019-03-24	weekday	1149	17.39	9.4	56.4	Credit	54.485640
2019-06-29	weekend	548	1.05	0	9.25	Cash	6.8978102
2019-04-04	weekday	446	0.88	2	9.25	Credit	7.1031390
2019-06-07	weekend	360	0.2	0	5.25	Cash	2
2019-06-20	weekday	1036	3.05	0	12.25	Cash	10.598456
2019-02-18	weekday	163	0.38	0	5.25	Cash	8.3926380
2019-04-10	weekday	1860	16.8	9.3	55.8	Credit	32.516129
2019-08-30	weekend	2280	0.9	6.25	49.5	Credit	1.4210526
2019-06-14	weekend	735	2.12	0	10	Cash	10.383673
2019-06-21	weekend	1432	4.3	0	16.5	Cash	10.810056
2019-07-11	weekday	960	1.5	2.05	11.8	Credit	5.6250000
2019-06-11	weekday	1200	13.1	7.55	45.3	Credit	39.300000
2019-12-13	weekend	394	0.86	2	9.75	Credit	7.8578680
2019-08-20	weekday	660	0.91	1.5	9.5	Credit	4.9636364
2019-05-15	weekday	360	0.1	0	10.5	Cash	1
2019-03-15	weekend	540	3.7	4.12	20.62	Credit	24.666667
2019-05-08	weekday	540	1.5	2	10.25	Credit	10
2019-11-25	weekday	3120	17.6	10.1	60.1	Credit	20.307692
2019-08-07	weekday	250	0.54	0	6.5	Cash	7.7760000
2019-08-09	weekend	540	1.2	1	10.5	Credit	8
2019-05-01	weekday	814	1.6	0	7.5	Cash	7.0761671
2019-01-15	weekday	1020	2.1	2	13.25	Credit	7.4117647
2019-09-23	weekday	240	0.6	0	5	Cash	9
2019-05-20	weekday	720	3	2.4	13.9	Credit	15
2019-11-07	weekday	314	1.1	2	8.75	Credit	12.611465
2019-05-20	weekday	700	1.63	0	9	Cash	8.3828571
2019-06-12	weekday	420	1.5	2	10.5	Credit	12.857143
2019-04-24	weekday	600	1.3	0	7.25	Cash	7.8000000
2019-04-05	weekend	720	1.9	2	11.5	Credit	9.5000000
2019-05-02	weekday	878	2.91	0	12.25	Cash	11.931663
2019-07-05	weekend	668	2.5	0	9.5	Cash	13.473054
2019-02-09	weekend	720	0.1	4	13.75	Credit	0.50000000
2019-02-04	weekday	1089	8.68	5.05	30.3	Credit	28.694215
2019-09-01	weekday	888	1.8	0	10	Cash	7.2972973
2019-06-14	weekend	96	0.2	2	6.25	Credit	7.5000000
2019-08-21	weekday	276	0.66	0	5.25	Cash	8.6086957
2019-04-11	weekday	891	2.33	0	9.25	Cash	9.4141414
2019-03-11	weekday	1666	5.84	0	25.75	Cash	12.619448
2019-08-01	weekday	2273	17.61	9.9	59.4	Credit	27.890893
2019-08-22	weekday	730	3.6	2.6	15.6	Credit	17.753425
2019-06-06	weekday	662	3.76	3.25	16.25	Credit	20.447130
2019-03-22	weekend	3180	16.7	0	46	Cash	18.905660
2019-01-02	weekday	222	0.45	0	4.75	Cash	7.2972973
2019-01-10	weekday	1307	14.3	12.15	52.65	Credit	39.387911
2019-01-18	weekend	805	2.11	0	10.75	Cash	9.4360248
2019-05-31	weekend	2030	17.84	0	44.5	Cash	31.637438
2019-10-07	weekday	67	0.13	0	3.5	Cash	6.9850746
2019-08-28	weekday	2640	16.8	0	49	Cash	22.909091
2019-03-29	weekend	1350	13.2	0	33.75	Cash	35.200000
2019-01-14	weekday	423	0.94	3	10	Credit	8
2019-12-14	weekend	1460	4.54	3.25	19.5	Credit	11.194521
2019-09-07	weekend	684	2.37	2	14.25	Credit	12.473684
2019-06-18	weekday	569	1.19	0	8.5	Cash	7.5289982
2019-03-19	weekday	864	2.29	0	10.5	Cash	9.5416667
2019-05-01	weekday	62	0.01	0	3.25	Cash	0.58064516
2019-08-09	weekend	1146	2.5	0	12.75	Cash	7.8534031
2019-03-12	weekday	240	0.6	1.25	6.5	Credit	9
2019-07-29	weekday	720	0.9	2.5	10.25	Credit	4.5000000
2019-02-26	weekday	225	1.01	0	5.5	Cash	16.160000
2019-07-20	weekend	2100	0.6	10.55	45.3	Credit	1.0285714
2019-04-06	weekend	391	1.01	0	6	Cash	9.2992327
2019-12-11	weekday	1687	2.5	2.9	17.4	Credit	5.3349140
2019-02-28	weekday	780	1.6	2	11	Credit	7.3846154
2019-10-02	weekday	405	0.77	0	6	Cash	6.8444444
2019-01-06	weekday	81	0.37	2	8	Credit	16.444444
2019-05-04	weekend	2315	18.77	0	51	Cash	29.188769
2019-08-03	weekend	120	0.4	0	5.75	Cash	12
2019-12-21	weekend	464	0.92	0	9	Cash	7.1379310
2019-03-19	weekday	4170	17.96	10.8	64.8	Credit	15.505036
2019-02-13	weekday	1581	4.56	2.59	19.84	Credit	10.383302
2019-06-03	weekday	2678	19.48	0	51.5	Cash	26.186706
2019-02-07	weekday	360	0.8	1	7	Credit	8
2019-12-31	weekday	317	0.57	0	6.5	Cash	6.4731861
2019-09-05	weekday	321	1.6	0	7.5	Credit	17.943925
2019-09-04	weekday	506	1.04	2	9.25	Credit	7.3992095
2019-09-28	weekend	1115	0.22	0	10.5	Cash	0.71031390
2019-02-14	weekday	360	0.4	1	7.25	Credit	4
2019-06-21	weekend	1684	13.14	6.95	41.7	Credit	28.090261
2019-06-04	weekday	292	1.16	0	7	Cash	14.301370
2019-08-15	weekday	459	0.85	2	9.75	Credit	6.6666667
2019-02-26	weekday	263	0.83	2	8	Credit	11.361217
2019-07-27	weekend	780	3.5	0	12.25	Cash	16.153846
2019-10-17	weekday	240	0.8	0	5.5	Cash	12
2019-04-15	weekday	324	1.27	0	6.25	Cash	14.111111
2019-10-05	weekend	180	0.56	0	4.75	Cash	11.200000
2019-12-03	weekday	269	0.9	1	7	Credit	12.044610
2019-11-15	weekend	379	0.72	2	9.25	Credit	6.8390501
2019-11-24	weekday	489	1.63	0	9.25	Cash	12
2019-11-25	weekday	1663	5.5	0	18.5	Cash	11.906194
2019-06-20	weekday	1243	4.56	4.06	20.31	Credit	13.206758
2019-01-02	weekday	420	0.9	1.5	7.75	Credit	7.7142857
2019-11-21	weekday	180	0.6	0	4.75	Cash	12.000000
2019-10-21	weekday	166	0.85	0	5.25	Cash	18.433735
2019-03-17	weekday	1706	17.04	7.16	54.91	Credit	35.957796
2019-05-09	weekday	780	2.18	3	13.5	Credit	10.061538
2019-02-11	weekday	424	1.23	0	6.5	Cash	10.443396
2019-05-12	weekday	1020	1.6	2.05	12.3	Credit	5.6470588
2019-12-21	weekend	598	0.91	0	8	Cash	5.4782609
2019-08-27	weekday	503	1.84	1	9.5	Credit	13.168986
2019-12-01	weekday	480	1.8	4.4	12.4	Credit	13.500000
2019-02-12	weekday	1649	5.1	2	20.25	Credit	11.134021
2019-04-26	weekend	2715	13.95	0	39.75	Cash	18.497238
2019-01-10	weekday	5100	35.3	0	85.75	Cash	24.917647
2019-04-25	weekday	289	1	3	9.5	Credit	12.456747
2019-08-01	weekday	676	1.11	0	8.25	Cash	5.9112426
2019-02-23	weekend	799	4.82	2.51	19.26	Credit	21.717146
2019-06-07	weekend	2979	16.56	8	52.75	Credit	20.012085
2019-06-03	weekday	587	1.39	2	10.25	Credit	8.5247019
2019-02-10	weekday	240	0.7	0	5.25	Cash	10.500000
2019-12-03	weekday	660	0.7	2	9	Credit	3.8181818
2019-11-13	weekday	1339	14.39	0	60	Cash	38.688574
2019-05-22	weekday	540	1.8	1	10.75	Credit	12
2019-02-18	weekday	264	0.55	0	5	Cash	7.5000000
2019-04-15	weekday	1254	4.03	0	14.5	Cash	11.569378
2019-09-02	weekday	540	0.3	0	9	Cash	2
2019-11-20	weekday	1749	13.11	6.95	41.7	Credit	26.984563
2019-05-19	weekday	1800	4.2	4	24	Credit	8.4000000
2019-05-09	weekday	843	3.61	0	16.5	Cash	15.416370
2019-06-20	weekday	606	0.88	1	8.75	Credit	5.2277228
2019-09-06	weekend	360	0.9	0	6	Cash	9
2019-09-15	weekday	487	1.8	0	8	Cash	13.305955
2019-01-04	weekend	1200	7	4.15	24.9	Credit	21
2019-12-15	weekday	420	0.1	2.2	12.7	Credit	0.85714286
2019-02-21	weekday	300	1.2	4	11.5	Credit	14.400000
2019-03-30	weekend	1696	19.01	0	50.75	Cash	40.351415
2019-05-07	weekday	1013	2	3	14.25	Credit	7.1076012
2019-09-26	weekday	275	0.5	0	5.25	Cash	6.5454545
2019-04-06	weekend	729	1.4	2	10.75	Credit	6.9135802
2019-02-26	weekday	840	5.2	3.25	19.5	Credit	22.285714
2019-06-14	weekend	926	2.88	0	12.75	Cash	11.196544
2019-09-27	weekend	441	0.43	0	5.75	Cash	3.5102041
2019-10-25	weekend	279	0.85	0	5.5	Cash	10.967742
2019-03-04	weekday	480	0.8	0	10.25	Cash	6
2019-11-29	weekend	3116	13.8	9.8	58.8	Credit	15.943517
2019-10-18	weekend	849	1.86	0	9.5	Cash	7.8869258
2019-04-30	weekday	650	1.85	0	8.5	Cash	10.246154
2019-08-11	weekday	600	2	0	9.75	Cash	12
2019-01-21	weekday	1849	14.37	0	37.75	Cash	27.978367
2019-03-21	weekday	371	0.81	2	8.25	Credit	7.8598383
2019-01-08	weekday	420	0.6	2	8	Credit	5.1428571
2019-02-25	weekday	1150	11.12	6.65	39.9	Credit	34.810435
2019-02-14	weekday	2220	1.1	5	51.5	Credit	1.7837838
2019-11-06	weekday	656	2.21	3	13.25	Credit	12.128049
2019-02-17	weekday	458	3.1	0	11	Cash	24.366812
2019-11-28	weekday	563	4.96	0	14.75	Cash	31.715808
2019-11-19	weekday	540	1	3	11.5	Credit	6.6666667
2019-06-09	weekday	420	1.1	1	7.75	Credit	9.4285714
2019-06-08	weekend	960	2.6	0	13.25	Cash	9.7500000
2019-09-25	weekday	120	0.2	0	4	Cash	6
2019-05-26	weekday	460	1.7	0	9.5	Cash	13.304348
2019-01-29	weekday	1215	13.2	7.55	45.3	Credit	39.111111
2019-02-22	weekend	612	2.24	4	14.75	Credit	13.176471
2019-08-20	weekday	321	1.42	0	6.75	Cash	15.925234
2019-04-20	weekend	1682	11.82	0	36.5	Cash	25.298454
2019-05-23	weekday	391	0.87	0	7	Cash	8.0102302
2019-05-05	weekday	1080	3.1	2.5	15	Credit	10.333333
2019-03-28	weekday	360	0.6	2	7.5	Credit	6.0000000
2019-06-27	weekday	347	0.89	2	9.5	Credit	9.2334294
2019-10-31	weekday	900	2.4	0	11.25	Cash	9.6000000
2019-11-24	weekday	780	2	2.25	13	Credit	9.2307692
2019-10-07	weekday	1026	8.54	0	22.75	Cash	29.964912
2019-10-11	weekend	1446	3.8	5	20.75	Credit	9.4605809
2019-07-10	weekday	480	1.2	2	9	Credit	9
2019-08-06	weekday	2340	10	7	42.2	Credit	15.384615
2019-09-16	weekday	230	0.86	0	5.5	Cash	13.460870
2019-01-04	weekend	818	1.36	0	9	Cash	5.9853301
2019-09-10	weekday	420	0.1	2.05	11.8	Credit	0.85714286
2019-05-22	weekday	2400	13.2	8	50.25	Credit	19.800000
2019-07-16	weekday	162	0.51	2	7	Credit	11.333333
2019-02-14	weekday	813	1.7	2	11.5	Credit	7.5276753
2019-02-21	weekday	600	0.3	0	14.75	Cash	1.8000000
2019-01-02	weekday	480	1.4	0	9.75	Cash	10.500000
2019-04-16	weekday	840	2.7	2	13.25	Credit	11.571429
2019-11-04	weekday	291	0.76	1	6.75	Credit	9.4020619
2019-10-01	weekday	244	0.73	0	5.25	Cash	10.770492
2019-04-25	weekday	1380	2	0	16.5	Credit	5.2173913
2019-03-20	weekday	1719	10.84	0	29.5	Cash	22.701571
2019-10-15	weekday	540	1	2	9	Credit	6.6666667
2019-06-01	weekend	938	1.9	3	14.75	Credit	7.2921109
2019-06-06	weekday	720	1.5	0	8.75	Credit	7.5000000
2019-04-08	weekday	323	0.68	0	5.5	Cash	7.5789474
2019-12-10	weekday	420	1.3	0	7	Cash	11.142857
2019-12-05	weekday	1364	10.29	7.25	36.25	Credit	27.158358
2019-11-08	weekend	300	0.6	2	7.5	Credit	7.2000000
2019-08-28	weekday	120	0.4	0	4.25	Cash	12
2019-09-06	weekend	1836	22.85	7	76	Credit	44.803922
2019-01-23	weekday	1305	2	2	14	Credit	5.5172414
2019-04-03	weekday	383	0.88	2	8.75	Credit	8.2715405
2019-03-05	weekday	553	0.92	0	7	Cash	5.9891501
2019-06-19	weekday	3452	21.6	11.65	69.9	Credit	22.526072
2019-02-19	weekday	360	0.9	0	6	Cash	9
2019-06-30	weekday	2100	15.6	9.2	54.7	Credit	26.742857
2019-12-20	weekend	732	1.66	0	8.75	Cash	8.1639344
2019-08-25	weekday	843	2.32	0	12.75	Cash	9.9074733
2019-12-06	weekend	814	2.7	3.12	15.62	Credit	11.941032
2019-11-09	weekend	972	5.9	4.5	27	Credit	21.851852
2019-02-08	weekend	3417	31.09	0	87.5	Cash	32.755048
2019-08-01	weekday	650	1.9	0	8	Cash	10.523077
2019-03-05	weekday	660	3.3	2.35	14.1	Credit	18
2019-10-04	weekend	808	2	0	11	Cash	8.9108911
2019-05-07	weekday	3470	16.74	0	47.25	Cash	17.367147
2019-09-29	weekday	1980	18.1	10	59.5	Credit	32.909091
2019-09-03	weekday	2340	1.1	0	49	Cash	1.6923077
2019-10-22	weekday	1620	0.7	7.75	46	Credit	1.5555556
2019-08-21	weekday	322	0.9	0	6	Cash	10.062112
2019-07-16	weekday	2996	18.4	9.5	57	Credit	22.109479
2019-02-20	weekday	480	2.5	2.5	12	Credit	18.750000
2019-11-03	weekday	660	3.3	0	11.5	Cash	18
2019-09-14	weekend	1021	6.22	0	19.25	Cash	21.931440
2019-01-04	weekend	196	0.53	0	4.75	Cash	9.7346939
2019-01-16	weekday	420	3	2	13	Credit	25.714286
2019-11-25	weekday	535	1.65	0	8	Cash	11.102804
2019-03-05	weekday	360	1.5	0	8	Cash	15
2019-11-14	weekday	1064	2.11	0	11.75	Cash	7.1390977
2019-08-23	weekend	2343	15.97	0	47.25	Cash	24.537772
2019-05-06	weekday	1102	4.25	0	14.5	Cash	13.883848
2019-07-15	weekday	3780	18.5	9.75	58	Credit	17.619048
2019-05-16	weekday	2340	15.2	8.95	53.2	Credit	23.384615
2019-04-29	weekday	244	0.56	0	5	Cash	8.2622951
2019-05-08	weekday	1560	12.9	7.45	44.7	Credit	29.769231
2019-02-27	weekday	660	1.9	0	9.25	Cash	10.363636
2019-06-06	weekday	918	2.75	0	11.25	Cash	10.784314
2019-03-21	weekday	440	0.95	0	6.25	Cash	7.7727273
2019-06-14	weekend	3677	17.57	9.4	56.4	Credit	17.202067
2019-03-19	weekday	480	2.2	0	11	Cash	16.500000
2019-01-22	weekday	2149	6.49	20	44	Credit	10.872034
2019-10-16	weekday	971	2.03	0	11	Cash	7.5262616
2019-01-23	weekday	536	1.76	0	8	Cash	11.820896
2019-09-15	weekday	4615	32.53	0	84.25	Cash	25.375515
2019-02-09	weekend	681	2.24	0	9.5	Cash	11.841410
2019-10-17	weekday	1707	5.8	4	24	Credit	12.231986
2019-06-13	weekday	563	2.4	10	20	Credit	15.346359
2019-10-23	weekday	2558	21.57	0	60.75	Cash	30.356529
2019-10-02	weekday	1433	8.59	4.85	29.1	Credit	21.579902
2019-03-12	weekday	268	0.86	0	5.75	Cash	11.552239
2019-07-23	weekday	720	1.2	0	8	Cash	6.0000000
2019-11-11	weekday	3900	25.4	19.25	96.25	Credit	23.446154
2019-05-14	weekday	877	7.87	0	22	Cash	32.305587
2019-07-30	weekday	780	1.5	2.05	11.8	Credit	6.9230769
2019-09-16	weekday	420	4.7	2.85	16.6	Credit	40.285714
2019-12-19	weekday	780	0.9	0	8.25	Cash	4.1538462
2019-03-17	weekday	660	2	0	10	Cash	10.909091
2019-03-16	weekend	300	0.7	4.5	10	Credit	8.4000000
2019-05-15	weekday	1051	1.33	2	12.5	Credit	4.5556613
2019-08-13	weekday	1380	12.9	9.6	47.6	Credit	33.652174
2019-09-08	weekday	646	1.9	3	12.25	Credit	10.588235
2019-06-04	weekday	1523	9.82	0	27.75	Cash	23.212081
2019-02-06	weekday	300	0.4	2	7	Credit	4.8000000
2019-05-01	weekday	1140	1.8	2.1	12.85	Credit	5.6842105
2019-07-20	weekend	528	0.77	2	9	Credit	5.2500000
2019-02-15	weekend	420	0.9	2	9.75	Credit	7.7142857
2019-01-12	weekend	360	0.7	4	11.5	Credit	7.0000000
2019-07-31	weekday	320	0.64	0	6.25	Cash	7.2000000
