Posicion,Pais,Puntaje,PuntajeAnt,Diferencia
49,Saudi Arabia,1444.69,1433.95,10.74
50,Paraguay,1443.3,1440.53,2.77
51,Qatar,1441.41,1437.91,3.50
52,Mali,1436.62,1446.49,-9.87
53,Côte d'Ivoire,1435.28,1439.62,-4.34
54,Northern Ireland,1423.55,1424.97,-1.42
55,Greece,1421.43,1421.99,-0.56
56,Burkina Faso,1409.61,1418.58,-8.97
57,Finland,1406.87,1411.77,-4.90
58,Venezuela,1398.14,1411.45,-13.31
59,Bosnia and Herzegovina,1388.63,1391.19,-2.56
60,Ghana,1387.36,1381.45,5.91
61,Panama,1382.79,1375.56,7.23
62,North Macedonia,1381.07,1367.23,13.84
63,Iceland,1380.85,1382.81,-1.96
64,Jamaica,1378.75,1378.62,0.13
65,Slovenia,1378.23,1375.42,2.81
66,Albania,1371.86,1374.98,-3.12
67,Congo DR,1365.07,1369.53,-4.46
68,United Arab Emirates,1356.99,1353.1,3.89
69,South Africa,1356.01,1358.24,-2.23
70,Montenegro,1342.79,1342.89,-0.10
71,Cabo Verde,1339.5,1336.88,2.62
72,Iraq,1338.91,1325.44,13.47
73,Bulgaria,1338.78,1345.47,-6.69
74,El Salvador,1331.65,1346.04,-14.39
75,Oman,1324.16,1301,23.16
76,Israel,1305.92,1306.7,-0.78
77,China PR,1304.02,1313.81,-9.79
78,Bolivia,1298.81,1308.12,-9.31
79,Curaçao,1298.39,1298.39,0.00
80,Guinea,1293.21,1292.58,0.63
81,Gabon,1290.65,1290.65,0.00
82,Honduras,1289.47,1303.96,-14.49
83,Uzbekistan,1286.55,1277.02,9.53
84,Benin,1284.13,1282.53,1.60
85,Georgia,1276.31,1269.24,7.07
86,Uganda,1275.5,1279.18,-3.68
87,Zambia,1267.04,1264.64,2.40
88,Syria,1265.03,1251.22,13.81
89,Bahrain,1262.55,1263.61,-1.06
90,Haiti,1261.86,1268.05,-6.19
91,Jordan,1259.84,1259.84,0.00
92,Armenia,1245.13,1242.24,2.89
93,Belarus,1243.2,1233.43,9.77
94,Luxembourg,1229.6,1236.45,-6.85
95,Kyrgyz Republic,1218.48,1228.69,-10.21
96,Vietnam,1215.38,1218.55,-3.17
97,Lebanon,1211.71,1228.97,-17.26
98,Congo,1211.33,1221.4,-10.07
99,Equatorial Guinea,1210.07,1210.07,0.00
100,Palestine,1208.9,1208.9,0.00
101,New Zealand,1206.07,1161.66,44.41
102,Madagascar,1205.61,1205.61,0.00
103,Trinidad and Tobago,1203.78,1205.99,-2.21
104,Kenya,1202.26,1202.26,0.00
105,Cyprus,1186.09,1178.65,7.44
106,India,1174.04,1182.75,-8.71
107,Kosovo,1173.9,1163.05,10.85
108,Sierra Leone,1173.89,1173.81,0.08
109,Korea DPR,1169.96,1169.96,0.00
110,Estonia,1169.06,1176.5,-7.44
111,Thailand,1167.68,1160.14,7.54
112,Namibia,1162.93,1162.93,0.00
113,Mauritania,1162.48,1152.52,9.96
114,Tajikistan,1159.42,1152.56,6.86
115,Guinea-Bissau,1158.62,1158.62,0.00
116,Niger,1153.23,1158.39,-5.16
117,Libya,1149.63,1149.51,0.12
118,Guatemala,1147.85,1138.4,9.45
119,Mozambique,1146.09,1151,-4.91
120,Malawi,1145.08,1145.08,0.00
121,Togo,1140,1133.24,6.76
122,Zimbabwe,1138.56,1138.56,0.00
123,Gambia,1138.19,1135.18,3.01
124,Faroe Islands,1137.4,1136.99,0.41
125,Kazakhstan,1134.77,1140.71,-5.94
126,Angola,1131.72,1131.72,0.00
127,Antigua and Barbuda,1131.07,1131.07,0.00
128,Comoros,1130.77,1126.2,4.57
129,Azerbaijan,1127.05,1139.02,-11.97
130,Tanzania,1123.79,1118.76,5.03
131,Central African Republic,1122.08,1127.2,-5.12
132,Sudan,1118.4,1118.31,0.09
133,Philippines,1117.89,1129.91,-12.02
134,Turkmenistan,1117.6,1117.6,0.00
135,Latvia,1105.02,1100.03,4.99
136,Rwanda,1097.16,1097.16,0.00
137,Solomon Islands,1092.56,1072.78,19.78
138,Lithuania,1092.04,1091.77,0.27
139,Burundi,1080.62,1075.82,4.80
140,Ethiopia,1076.67,1081.24,-4.57
141,Suriname,1073.39,1077.57,-4.18
142,St. Kitts and Nevis,1072.3,1077.76,-5.46
143,Eswatini,1070.46,1054.14,16.32
144,Nicaragua,1062.21,1062.21,0.00
145,Lesotho,1061.72,1057.62,4.10
146,Kuwait,1059.94,1065.56,-5.62
147,Hong Kong,1053.39,1053.39,0.00
148,Botswana,1051.59,1051.59,0.00
149,Liberia,1050.5,1058.28,-7.78
150,Afghanistan,1049.77,1049.77,0.00
151,Yemen,1046.26,1046.26,0.00
152,Myanmar,1044.56,1044.56,0.00
153,Andorra,1040.13,1030.28,9.85
154,Malaysia,1035.06,1034.53,0.53
155,Dominican Republic,1029.42,1029.42,0.00
156,Maldives,1025.5,1021.58,3.92
157,Chinese Taipei,1017.78,1017.78,0.00
158,Singapore,1012.27,1000.78,11.49
159,Indonesia,1001.61,1001.61,0.00
160,New Caledonia,999.7,1035.12,-35.42
161,South Sudan,998.45,977.81,20.64
162,Papua New Guinea,997.6,990.55,7.05
163,Barbados,995.94,995.94,0.00
164,Tahiti,995.11,1014.27,-19.16
165,Fiji,993.37,996.27,-2.90
166,Vanuatu,990.55,995.62,-5.07
167,Bermuda,982.43,982.43,0.00
168,Nepal,978.86,982.22,-3.36
169,Malta,971.56,958.95,12.61
170,Grenada,968.49,974.03,-5.54
171,Cambodia,966.61,966.61,0.00
172,Puerto Rico,962.77,962.77,0.00
173,Belize,962.21,967.42,-5.21
174,Guyana,961.07,958.87,2.20
175,St. Vincent and the Grenadines,960.71,960.71,0.00
176,St. Lucia,953.45,953.45,0.00
177,Cuba,950.91,948.96,1.95
178,Montserrat,950.71,950.71,0.00
179,Mauritius,940.47,955.18,-14.71
180,Moldova,932.79,926.85,5.94
181,Chad,931.98,935,-3.02
182,Macau,922.1,922.1,0.00
183,São Tomé and Príncipe,917.62,903.31,14.31
184,Dominica,916.72,916.72,0.00
185,Laos,914.66,904.6,10.06
186,Mongolia,911.49,916.68,-5.19
187,Bhutan,910.96,910.96,0.00
188,Bangladesh,903.98,907.83,-3.85
189,American Samoa,900.27,900.27,0.00
190,Cook Islands,899.33,0,899.33
191,Brunei Darussalam,898.96,903.9,-4.94
192,Liechtenstein,895.08,899.52,-4.44
193,Samoa,894.26,894.26,0.00
194,Djibouti,875.98,896.62,-20.64
195,Cayman Islands,873.64,873.64,0.00
196,Seychelles,866.94,870.63,-3.69
197,Pakistan,866.81,866.81,0.00
198,Timor-Leste,865.47,865.47,0.00
199,Tonga,861.81,861.81,0.00
200,Aruba,859.97,859.97,0.00
201,Bahamas,858.5,858.5,0.00
202,Somalia,857.39,873.71,-16.32
203,Gibraltar,857.2,853.6,3.60
204,Eritrea,855.56,855.56,0.00
205,Sri Lanka,842.93,842.93,0.00
206,Turks and Caicos Islands,839.84,839.84,0.00
207,Guam,838.33,838.33,0.00
208,US Virgin Islands,816.13,816.13,0.00
209,British Virgin Islands,812.94,812.94,0.00
210,Anguilla,792.34,792.34,0.00
211,San Marino,776.97,780.33,-3.36
